mentor_id,display_name,expertise_tags,industry_tags,stage_tags,geography_tags,market_tags,languages,availability_status,consent_status,conflict_status,valid_until,source,source_url,updated_at,data_class,simulation_only,disclosure_label,profile_summary
SIM-M-001,模拟导师 M-001（储能商业化）,商业模式;客户验证;单位经济性;energy storage,储能;清洁能源;energy storage,试点;早期商业化;规模化;pilot;early_commercial;scaling,上海;中国;China,工业脱碳;B2B,中文;English,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试储能企业商业化和客户验证候选匹配
SIM-M-002,模拟导师 M-002（氢能项目开发）,项目开发;产业链;融资;hydrogen,氢能;绿色燃料;clean energy,试点;早期商业化;规模化;pilot;early_commercial;scaling,上海;中国;China,工业脱碳;绿色交通,中文;English,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试氢能和绿色燃料项目路径候选匹配
SIM-M-003,模拟导师 M-003（光伏项目融资）,项目融资;现金流;合同结构;solar,光伏;新能源;solar,早期商业化;规模化;成熟;early_commercial;scaling;mature,上海;中国;China,项目融资;基础设施,中文;English,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试光伏项目融资材料候选匹配
SIM-M-004,模拟导师 M-004（清洁技术研发转化）,技术路线;研发管理;知识产权;IP,清洁技术;电池;材料,研发;试点;早期商业化;research_development;pilot;early_commercial,上海;中国;China,技术许可;产业化,中文;English,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试研发转化和知识产权材料候选匹配
SIM-M-005,模拟导师 M-005（工业节能改造）,节能诊断;合同能源管理;绿色制造,工业节能;清洁能源,试点;早期商业化;规模化;成熟;pilot;early_commercial;scaling;mature,上海;中国;China,工业脱碳,中文,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试工业节能和合同能源管理候选匹配
SIM-M-006,模拟导师 M-006（科技企业融资准备）,融资材料;现金跑道;FA;venture financing,科技企业;清洁技术,研发;试点;早期商业化;规模化;research_development;pilot;early_commercial;scaling,上海;中国;China,科技金融;创业投资,中文;English,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试科技企业融资准备和材料缺口候选匹配
SIM-M-007,模拟导师 M-007（欧盟市场进入）,出海准备;认证路径;渠道;EU market entry,储能;氢能;光伏;清洁技术,早期商业化;规模化;early_commercial;scaling,中国;EU;欧洲,欧盟;EU market entry,中文;English,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试欧盟市场进入材料和候选匹配
SIM-M-008,模拟导师 M-008（ESG证据治理）,ESG;证据治理;清洁技术影响,清洁能源;新能源;工业,试点;早期商业化;规模化;pilot;early_commercial;scaling,上海;中国;China,绿色金融;工业脱碳,中文;English,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试ESG证据框架和影响边界候选匹配
SIM-M-009,模拟导师 M-009（政策材料准备）,政策检索;申报材料;项目管理,科技企业;清洁能源;新能源,研发;试点;早期商业化;research_development;pilot;early_commercial,上海,政策资金;科技创新,中文,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试上海政策材料和时间窗口候选匹配
SIM-M-010,模拟导师 M-010（并购资料室）,FA;并购准备;资料室;due diligence,清洁能源;科技企业,早期商业化;规模化;成熟;early_commercial;scaling;mature,上海;中国;China,FA;并购;融资,中文;English,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试FA流程资料室和变更控制候选匹配
SIM-M-011,模拟导师 M-011（绿色燃料研发）,绿色燃料;研发路线;中试,绿色燃料;氢能,研发;试点;research_development;pilot,上海;中国;China,绿色交通;工业脱碳,中文;English,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试绿色燃料研发和中试材料候选匹配
SIM-M-012,模拟导师 M-012（制造规模化）,供应链;产能;质量体系;operations,电池;光伏;清洁技术,规模化;成熟;scaling;mature,上海;中国;China,制造;国际市场,中文;English,available,consented,clear,2027-12-31,synthetic_fixture_not_a_person,,2026-08-02,synthetic_fixture,true,合成测试画像；不对应任何真人；禁止联系,用于测试制造规模化和供应链材料候选匹配
