"data_classification","month","basis","revenue_cnym","ebitda_cnym","ebit_cnym","tax_rate","depreciation_amortization_cnym","capex_cnym","change_in_nwc_cnym","fcff_cnym","source_id","source_status","note"
"Synthetic","2025-07","Reported candidate decomposition","44.000","7.300","6.200","0.250","1.100","1.500","0.600","3.650","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","2025-08","Reported candidate decomposition","45.000","7.600","6.500","0.250","1.100","1.500","0.600","3.875","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","2025-09","Reported candidate decomposition","46.000","7.800","6.700","0.250","1.100","1.600","0.700","3.825","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","2025-10","Reported candidate decomposition","47.000","7.900","6.800","0.250","1.100","1.600","0.700","3.900","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","2025-11","Reported candidate decomposition","48.000","8.100","7.000","0.250","1.100","1.600","0.700","4.050","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","2025-12","Reported candidate decomposition","50.000","8.800","7.600","0.250","1.200","2.000","0.800","4.100","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","2026-01","Reported candidate decomposition","43.000","7.300","6.200","0.250","1.100","1.400","0.500","3.850","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","2026-02","Reported candidate decomposition","44.000","7.500","6.400","0.250","1.100","1.400","0.500","4.000","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","2026-03","Reported candidate decomposition","45.000","7.700","6.600","0.250","1.100","1.500","0.600","3.950","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","2026-04","Reported candidate decomposition","47.000","8.200","7.000","0.250","1.200","1.500","0.700","4.250","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","2026-05","Reported candidate decomposition","49.000","8.700","7.400","0.250","1.300","1.700","0.800","4.350","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","2026-06","Reported candidate decomposition","52.000","11.100","9.600","0.250","1.500","1.700","0.800","6.200","SYN-R5-LTM-MONTHLY-SUPP-V1","New Synthetic candidate support","Generated to tie to original LTM aggregate; not a real monthly ledger"
"Synthetic","LTM_TOTAL","Reported aggregate tie-out","560.000","98.000","84.000","0.250","14.000","19.000","8.000","50.000","SYN-R5-FIN-LTM-20260630","Ties to original pack","Sum of the twelve candidate monthly rows; FCFF = EBIT x (1-tax) + D&A - CapEx - change in NWC"
