course_id,title,provider,source_url,industry_tags,stage_tags,need_tags,technology_tags,geography_tags,market_tags,languages,delivery_format,duration_minutes,review_status,active_status,valid_until,data_class,simulation_only,disclosure_label,summary,updated_at
SIM-COURSE-001,模拟课程：清洁技术单位经济性证据准备,模拟课程库,,清洁能源;储能;氢能;energy storage;hydrogen,早期商业化;规模化;early_commercial;scaling,单位经济性;盈利;商业模式;unit economics,储能;氢能;清洁技术,上海;中国;China,工业脱碳;industrial decarbonization,中文;English,workshop,90,synthetic_fixture,active,2027-12-31,synthetic_fixture,true,模拟课程；不代表真实开课或招生,练习收入成本边界和可追溯证据清单,2026-08-02
SIM-COURSE-002,模拟课程：现金跑道与资金缺口工作底稿,模拟课程库,,清洁能源;初创企业;clean energy,研发;试点;早期商业化;research_development;pilot;early_commercial,现金流;资金缺口;融资;cash flow,清洁技术,上海;中国;China,科技金融;venture financing,中文;English,clinic,75,synthetic_fixture,active,2027-12-31,synthetic_fixture,true,模拟课程；不代表真实开课或招生,练习现金口径资金缺口和证据缺失标记,2026-08-02
SIM-COURSE-003,模拟课程：主张与证据台账,模拟课程库,,清洁能源;科技企业;clean energy,研发;试点;早期商业化;规模化;research_development;pilot;early_commercial;scaling,证据准备;尽调;主张管理,evidence;due diligence,上海;中国;China,企业服务;FA,中文;English,workshop,60,synthetic_fixture,active,2027-12-31,synthetic_fixture,true,模拟课程；不代表真实开课或招生,练习把企业材料拆成原子主张和候选证据,2026-08-02
SIM-COURSE-004,模拟课程：上海政策材料预检,模拟课程库,,清洁能源;科技型中小企业;新能源,研发;试点;早期商业化;research_development;pilot;early_commercial,政策申报;材料补件;研发资助,绿色燃料;光伏;储能;氢能,上海,政策资金;科技创新,中文,clinic,70,synthetic_fixture,active,2027-12-31,synthetic_fixture,true,模拟课程；不代表真实开课或招生,练习根据政策原文整理资格字段和材料缺口,2026-08-02
SIM-COURSE-005,模拟课程：商业模式访谈设计,模拟课程库,,清洁能源;初创企业;clean energy,试点;早期商业化;规模化;pilot;early_commercial;scaling,商业模式;客户验证;关键访谈,clean technology,上海;中国;China,B2B;工业客户,中文;English,workshop,80,synthetic_fixture,active,2027-12-31,synthetic_fixture,true,模拟课程；不代表真实开课或招生,练习用材料缺口生成高信息量访谈问题,2026-08-02
SIM-COURSE-006,模拟课程：欧盟市场进入证据包,模拟课程库,,储能;氢能;光伏;energy storage;hydrogen;solar,早期商业化;规模化;early_commercial;scaling,出海准备;认证;市场进入,储能;氢能;光伏,中国;EU;欧洲,欧盟;EU market entry,中文;English,workshop,100,synthetic_fixture,active,2027-12-31,synthetic_fixture,true,模拟课程；不代表真实开课或招生,练习区分市场资料认证资料和法律意见,2026-08-02
SIM-COURSE-007,模拟课程：FA交易材料工作流,模拟课程库,,清洁能源;科技企业,早期商业化;规模化;成熟;early_commercial;scaling;mature,并购准备;融资准备;材料室,M&A;data room,上海;中国;China,FA;并购;融资,中文;English,workshop,120,synthetic_fixture,active,2027-12-31,synthetic_fixture,true,模拟课程；不代表真实开课或招生,练习资料室版本责任人截止时间和变更记录,2026-08-02
SIM-COURSE-008,模拟课程：ESG与清洁技术影响证据边界,模拟课程库,,清洁能源;新能源;clean energy,试点;早期商业化;规模化;pilot;early_commercial;scaling,ESG;清洁技术影响;证据边界,碳减排;生命周期,上海;中国;China,工业脱碳;绿色金融,中文;English,seminar,75,synthetic_fixture,active,2027-12-31,synthetic_fixture,true,模拟课程；不代表真实开课或招生,练习基线边界方法和不可认证表述,2026-08-02
SIM-COURSE-009,模拟课程：技术与知识产权尽调材料,模拟课程库,,清洁技术;材料;电池;氢能,研发;试点;早期商业化;research_development;pilot;early_commercial,知识产权;技术尽调;研发路线,电池;材料;氢能;IP,上海;中国;China,技术许可;产业化,中文;English,clinic,90,synthetic_fixture,active,2027-12-31,synthetic_fixture,true,模拟课程；不代表真实开课或招生,练习专利权属研发里程碑和第三方验证材料,2026-08-02
SIM-COURSE-010,模拟课程：清洁能源项目融资材料地图,模拟课程库,,光伏;风电;储能;solar;wind;energy storage,试点;早期商业化;规模化;pilot;early_commercial;scaling,项目融资;银行性;现金流,光伏;风电;储能,上海;中国;China,项目融资;基础设施,中文;English,workshop,110,synthetic_fixture,active,2027-12-31,synthetic_fixture,true,模拟课程；不代表真实开课或招生,练习项目合同现金流和关键条件材料映射,2026-08-02
