data_status,source_class,record_group,statement_or_register,period,record_id,line_item,management_amount_rmb_m,adjustment_rmb_m,adjusted_amount_rmb_m,restriction_or_due_date,tb_or_source_ref,evidence_status,note
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-A01,Unrestricted cash and cash equivalents,4.2,-1.7,2.5,,SYN-TB-1001/SYN-BANK-STMT-0630,Reconciled to Synthetic bank-copy excerpt,"Management total split between unrestricted and pledged balance"
Synthetic,Transaction counterparty copy,Balance sheet,Adjusted balance sheet,2026-06-30,BS-A02,Restricted pledged deposit,0.0,1.7,1.7,Released only after SYN-BANK-A loan discharge,SYN-BANK-PLEDGE-01,Simulated bank document copy,"Synthetic source category; not real-world bank evidence"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-A03,Trade receivables,6.3,0.0,6.3,,SYN-TB-1122,Trial-balance reference only,"Includes RMB 2.8m over 120 days"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-A04,Contract assets,4.6,-4.6,0.0,,SYN-TB-1124/SYN-ADJ-2603,Unsupported balance reversed,"P2603 has no signed PO or technical agreement"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-A05,Inventory and work in progress,2.1,3.0,5.1,,SYN-TB-1405/SYN-ADJ-2603,Adjusted enterprise schedule,"P2603 procurement restored to WIP"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-A06,Prepayments and other current assets,2.2,0.0,2.2,,SYN-TB-1123/1221,Trial-balance reference only,"Synthetic aggregate"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-A07,Property plant and equipment net,9.4,0.0,9.4,,SYN-TB-1601/1602,Trial-balance reference only,"Synthetic aggregate"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-A08,Intangible assets,0.8,0.0,0.8,,SYN-TB-1701,Trial-balance reference only,"Synthetic aggregate"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-A09,Total assets,29.6,-1.6,28.0,,SYN-TB-TOTAL-ASSET,Arithmetic total,"Synthetic adjusted closing balance"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-L01,Trade payables,7.4,0.0,7.4,3.6m overdue over 90 days,SYN-TB-2202,Enterprise aging schedule,"Synthetic aggregate"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-L02,Contract liabilities,0.0,2.4,2.4,Refundable if no P2602 PO by 2026-09-30,SYN-ADJ-2602,Framework agreement and receipt excerpt,"Capacity-reservation cash is not revenue"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-L03,Accrued payroll social insurance and tax,0.9,0.0,0.9,Past due/current,SYN-TB-2211/2221,Enterprise schedule,"Synthetic aggregate"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-L04,Other current liabilities,1.2,0.0,1.2,,SYN-TB-2241,Trial-balance reference only,"Synthetic aggregate"
Synthetic,Transaction counterparty copy,Balance sheet,Adjusted balance sheet,2026-06-30,BS-L05,Bank loan current,6.0,0.0,6.0,2026-09-30,SYN-LOAN-A-01,Simulated signed bank-loan copy,"5.2% annual interest; founder-role guarantee; deposit and IP pledge"
Synthetic,Transaction counterparty copy,Balance sheet,Adjusted balance sheet,2026-06-30,BS-L06,Finance lease current,0.6,0.0,0.6,Within 12 months,SYN-LEASE-01,Simulated lease-copy schedule,"Synthetic source category"
Synthetic,Transaction counterparty copy,Balance sheet,Adjusted balance sheet,2026-06-30,BS-L07,Finance lease non-current,1.2,0.0,1.2,After 12 months,SYN-LEASE-01,Simulated lease-copy schedule,"Synthetic source category"
Synthetic,Management statement,Balance sheet,Adjusted balance sheet,2026-06-30,BS-L08,Founder related-party loan,3.5,0.0,3.5,Due on demand,SYN-RP-LOAN-01,Enterprise-held agreement excerpt,"Not subordinated"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-L09,Warranty and remediation provision,0.0,1.3,1.3,Current estimate,SYN-DEFECT-2601/SYN-REPAIR-BUDGET-01,Adjusted estimate,"P2601 refractory and controls remediation"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-L10,Total liabilities,20.8,3.7,24.5,,SYN-TB-TOTAL-LIAB,Arithmetic total,"Synthetic adjusted closing balance"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-E01,Paid-in capital,8.5,0.0,8.5,,SYN-CAP-LEDGER-01,Enterprise register,"Registered capital is RMB 10.0m"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-E02,Capital reserve,30.0,0.0,30.0,,SYN-CAP-LEDGER-01,Enterprise register,"Synthetic cumulative paid-in premium"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-E03,Accumulated deficit,-29.7,-5.3,-35.0,,SYN-TB-3104/SYN-ADJ-REGISTER,Adjusted enterprise schedule,"Corrections include revenue cutoff and remediation provision"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-E04,Total equity,8.8,-5.3,3.5,,SYN-TB-TOTAL-EQUITY,Arithmetic total,"Synthetic adjusted closing balance"
Synthetic,Enterprise-prepared,Balance sheet,Adjusted balance sheet,2026-06-30,BS-CHECK,Total liabilities and equity,29.6,-1.6,28.0,,SYN-TB-CHECK,Balances to total assets,"Synthetic balance check"
Synthetic,Enterprise-prepared,Cash flow,Adjusted cash flow,H1 2026,CF-01,Opening cash and bank balances,,,9.3,2026-01-01,SYN-BANK-OPEN-0101,Reconciled to Synthetic bank-copy excerpt,"Includes unrestricted and restricted balances"
Synthetic,Enterprise-prepared,Cash flow,Adjusted cash flow,H1 2026,CF-02,Net operating cash flow,,,-8.7,2026-01-01 to 2026-06-30,SYN-CF-LEDGER-H1,Enterprise-prepared direct cash schedule,"Selected categories only; not an audited statement"
Synthetic,Enterprise-prepared,Cash flow,Adjusted cash flow,H1 2026,CF-03,Capital expenditure cash flow,,,-2.4,2026-01-01 to 2026-06-30,SYN-CAPEX-LEDGER-H1,Enterprise fixed-asset ledger,"Cash outflow"
Synthetic,Transaction counterparty copy,Cash flow,Adjusted cash flow,H1 2026,CF-04,New bank borrowing proceeds,,,6.0,2026-02-15,SYN-LOAN-A-01/SYN-BANK-STMT-0215,Simulated bank document copy,"Synthetic source category; not real-world bank evidence"
Synthetic,Enterprise-prepared,Cash flow,Adjusted cash flow,H1 2026,CF-05,Net change in cash,,,-5.1,2026-01-01 to 2026-06-30,SYN-CF-CHECK,Arithmetic check,"-8.7 - 2.4 + 6.0"
Synthetic,Enterprise-prepared,Cash flow,Adjusted cash flow,H1 2026,CF-06,Closing cash and bank balances,,,4.2,2026-06-30,SYN-BANK-STMT-0630,Reconciled to Synthetic bank-copy excerpt,"2.5 unrestricted plus 1.7 restricted"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,FY2024,PL24-REV,Revenue,3.2,0.0,3.2,2024-12-31,SYN-TB24-6001,High-level reconciliation,"No material cutoff correction identified in this Synthetic period"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,FY2024,PL24-GP,Gross profit,-0.7,0.0,-0.7,2024-12-31,SYN-TB24-6001/6401,Arithmetic reconciliation,"Synthetic"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,FY2024,PL24-EBITDA,Adjusted EBITDA,-10.5,0.0,-10.5,2024-12-31,SYN-TB24-OPS,Management measure,"Synthetic"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,FY2024,PL24-NET,Net profit loss,-11.7,0.0,-11.7,2024-12-31,SYN-TB24-3104,High-level reconciliation,"Synthetic"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,FY2025,PL25-REV,Revenue,15.8,-3.5,12.3,2025-12-31,SYN-TB25-6001/SYN-ADJ-2602/SYN-GRANT-25,Adjusted reconciliation,"Reverse 2.4 refundable deposit; reclassify 1.1 grant"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,FY2025,PL25-COGS,Cost of revenue,12.2,-0.6,11.6,2025-12-31,SYN-TB25-6401/SYN-WIP-25,Adjusted reconciliation,"Reusable procurement restored to inventory"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,FY2025,PL25-GP,Gross profit,3.6,-2.9,0.7,2025-12-31,SYN-TB25-6001/6401,Arithmetic reconciliation,"Adjusted gross margin 5.7%"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,FY2025,PL25-OTHER,Other operating income,0.0,1.1,1.1,2025-12-31,SYN-GRANT-25,Reclassification,"Synthetic grant"
