data_status,source_class,as_of_date,record_type,project_id,document_type,document_id,document_status,document_date,total_or_reference_value_rmb_m,invoiced_rmb_m,cash_received_rmb_m,management_h1_revenue_rmb_m,adjustment_rmb_m,adjusted_h1_revenue_rmb_m,key_acceptance_cancellation_or_refund_term,evidence_status,note
Synthetic,Transaction counterparty copy,2026-06-30,Document register,SYN-P2601,Equipment supply agreement,SYN-P2601-CON-01,Signed,2024-11-18,5.6,4.5,4.5,0.0,0.0,0.0,"Final 20% requires 1000 valid operating hours and efficiency at least 82% during acceptance test; termination right after uncured material defect",Simulated signed-copy excerpt,"Synthetic source category; no real counterparty or independent evidence"
Synthetic,Transaction counterparty copy,2026-06-30,Document register,SYN-P2601,Technical agreement,SYN-P2601-TECH-01,Signed,2024-11-18,5.6,,,0.0,0.0,0.0,"Efficiency boundary is grid electricity at heater inlet to useful heat delivered at customer interface",Simulated signed-copy excerpt,"Synthetic"
Synthetic,Transaction counterparty copy,2026-06-30,Document register,SYN-P2601,Defect notice,SYN-P2601-DEFECT-01,Received,2026-06-12,1.1,,,0.0,0.0,0.0,"Customer withholds final acceptance and 1.1 payment pending refractory and controls remediation",Simulated counterparty-copy excerpt,"System has 312 valid operating hours and has not met final acceptance"
Synthetic,Enterprise-prepared,2026-06-30,Document register,SYN-P2601,Invoice and receipt register,SYN-P2601-AR-01,Partial milestones only,2025-12-20,4.5,4.5,4.5,0.0,0.0,0.0,"No invoice for final 1.1 holdback",Enterprise register reconciled to Synthetic receipt excerpt,"Final balance is conditional and disputed"
Synthetic,Transaction counterparty copy,2026-06-30,Document register,SYN-P2602,Framework cooperation agreement,SYN-P2602-FRAME-01,Signed but non-order,2025-12-05,11.8,0.0,2.4,0.0,0.0,0.0,"Separate purchase order is required; 2.4 capacity reservation is refundable if no PO by 2026-09-30",Simulated signed-copy excerpt,"Does not create executable equipment order"
Synthetic,Transaction counterparty copy,2026-06-30,Document register,SYN-P2602,Purchase order,SYN-P2602-PO-STATUS,Does not exist as of date,,,,,0.0,0.0,0.0,"No delivery or cancellation schedule exists without a PO",Explicit absence response,"No signed PO was produced because none exists"
Synthetic,Management statement,2026-06-30,Document register,SYN-P2602,Technical agreement,SYN-P2602-TECH-DRAFT,Unsigned draft,2026-05-20,11.8,,,0.0,0.0,0.0,"Draft conditions have no binding effect",Enterprise-held draft,"Not executed"
Synthetic,Transaction counterparty copy,2026-06-30,Document register,SYN-P2603,Customer intention email,SYN-P2603-EMAIL-01,Non-binding communication,2026-03-08,8.6,0.0,0.0,4.6,-4.6,0.0,"Proceeding is subject to internal budget approval and signed technical agreement",Simulated counterparty-copy excerpt,"Does not constitute PO or contract"
Synthetic,Management statement,2026-06-30,Document register,SYN-P2603,Purchase order,SYN-P2603-PO-DRAFT,Unsigned draft,2026-04-16,8.6,0.0,0.0,4.6,-4.6,0.0,"No effective cancellation refund invoicing or acceptance term because document is unsigned",Enterprise-held draft,"No signed PO exists"
Synthetic,Management statement,2026-06-30,Document register,SYN-P2603,Technical agreement,SYN-P2603-TECH-DRAFT,Unsigned incomplete draft,2026-05-03,8.6,,,4.6,-4.6,0.0,"Efficiency boundary and final acceptance duration remain open",Enterprise-held draft,"No signed technical agreement exists"
Synthetic,Enterprise-prepared,2026-06-30,H1 revenue reconciliation,SYN-CLOSE-021,Accepted delivery and invoice,SYN-CLOSE-021-REV,Complete,2026-02-28,4.1,4.1,4.1,4.1,0.0,4.1,"Customer delivery acknowledgement completed",Ledger to simulated counterparty-copy excerpt,"Synthetic recognized revenue"
Synthetic,Enterprise-prepared,2026-06-30,H1 revenue reconciliation,SYN-CLOSE-022,Accepted delivery and invoice,SYN-CLOSE-022-REV,Complete,2026-04-30,2.7,2.7,2.7,2.7,0.0,2.7,"Customer delivery acknowledgement completed",Ledger to simulated counterparty-copy excerpt,"Synthetic recognized revenue"
Synthetic,Enterprise-prepared,2026-06-30,H1 revenue reconciliation,SYN-CLOSE-023,Accepted delivery and invoice,SYN-CLOSE-023-REV,Complete,2026-06-20,2.0,2.0,1.6,2.0,0.0,2.0,"Customer delivery acknowledgement completed; 0.4 receivable outstanding",Ledger to simulated counterparty-copy excerpt,"Synthetic recognized revenue"
Synthetic,Enterprise-prepared,2026-06-30,H1 revenue reconciliation,SYN-P2603,Unsupported contract asset,SYN-P2603-REV-ADJ,Reversed,2026-06-30,4.6,0.0,0.0,4.6,-4.6,0.0,"No enforceable document or transfer of control",Adjustment register,"Synthetic cutoff correction"
Synthetic,Enterprise-prepared,2026-06-30,H1 revenue reconciliation,SYN-GRANT-26,Government grant reclassification,SYN-GRANT-26-ADJ,Reclassified,2026-06-30,1.2,0.0,1.2,1.2,-1.2,0.0,"Classified as other operating income rather than customer revenue",Adjustment register,"Synthetic grant; not project revenue"
Synthetic,Enterprise-prepared,2026-06-30,H1 revenue reconciliation,H1-TOTAL,Revenue total,SYN-H1-REV-CHECK,Reconciled,2026-06-30,14.6,8.8,8.4,14.6,-5.8,8.8,"Adjusted revenue consists only of three accepted-delivery rows",Arithmetic check,"Synthetic H1 revenue reconciliation"
