data_status,source_class,assertion_status,question_ids,bridge_id,source_record,source_scope,source_period_or_asof,source_unit,source_tax_or_restriction,metric,source_value,normalization_or_reconciliation,normalized_value_rmb_m,inclusion_status,remaining_gap
Synthetic,Enterprise-prepared normalization policy,Unverified enterprise-prepared,R02-Q03|R02-Q04|R02-Q05,SYN-BRIDGE-000,Selected historical basis,Standalone,H1 2026,RMB million,Excluding VAT,Policy,,"Standalone / 2026-01-01 to 2026-06-30 / RMB million / excluding VAT",,Selected,"Legal and audit support absent"
Synthetic,Enterprise-prepared finance export,Unverified enterprise-prepared,R02-Q03|R02-Q04|R02-Q05,SYN-BRIDGE-001,Finance H1 revenue,Standalone,H1 2026,RMB yuan,Excluding VAT,Revenue,14600000,"14600000 / 1000000",14.6,Selected historical candidate,"Management P&L unaudited"
Synthetic,Enterprise-prepared finance export,Unverified enterprise-prepared,R02-Q03|R02-Q04|R02-Q05,SYN-BRIDGE-002,Finance H1 cost,Standalone,H1 2026,RMB yuan,Excluding VAT,Cost of revenue,10200000,"10200000 / 1000000",10.2,Selected historical candidate,"Management P&L unaudited"
Synthetic,Enterprise-prepared finance export,Unverified enterprise-prepared,R02-Q03|R02-Q04|R02-Q05,SYN-BRIDGE-003,Finance H1 gross profit,Standalone,H1 2026,RMB yuan,Excluding VAT,Gross profit,4400000,"4400000 / 1000000",4.4,Selected historical candidate,"Management P&L unaudited"
Synthetic,Enterprise-prepared sales ledger export,Unverified enterprise-prepared,R02-Q03|R02-Q04|R02-Q05|R02-Q08,SYN-BRIDGE-004,CYTS H1 net sales,Selected entity row,H1 2026,RMB thousand,Excluding VAT,Net sales,14600,"14600 / 1000 = finance revenue 14.6",14.6,Reconciles to selected historical candidate,"Invoices and tax returns absent"
Synthetic,Enterprise-prepared sales ledger export,Unverified enterprise-prepared,R02-Q04|R02-Q05,SYN-BRIDGE-005,CYTS H1 gross sales,Selected entity row,H1 2026,RMB thousand,Including 13% VAT,Gross sales,16498,"16498 / 1000 / 1.13",14.6,Paired gross column not separately added,"Invoices and tax returns absent"
Synthetic,Enterprise-prepared sales ledger export,Unverified enterprise-prepared,R02-Q03|R02-Q04|R02-Q05|R02-Q08,SYN-BRIDGE-006,CYTS July net sales,Selected entity row,July 2026,RMB thousand,Excluding VAT,Net sales,3000,"3000 / 1000",3.0,Separate period,"Complete monthly bridge absent"
Synthetic,Enterprise-prepared reconciliation,Unverified enterprise-prepared,R02-Q03|R02-Q08,SYN-BRIDGE-007,CYTS YTD derived subtotal,Standalone,YTD to 2026-07-31,RMB million,Excluding VAT,Net sales,17.6,"H1 14.6 + July 3.0",17.6,Separate YTD period,"Derived subtotal not issued as signed report"
Synthetic,Enterprise-prepared sales ledger export,Unverified enterprise-prepared,R02-Q01|R02-Q02|R02-Q08,SYN-BRIDGE-008,SYN-OPS-01 YTD sales,Excluded related entity,YTD to 2026-07-31,RMB thousand,Excluding VAT,Net sales,2000,"2000 / 1000",2.0,Excluded entity,"Legal and invoice evidence absent"
Synthetic,Enterprise-prepared reconciliation,Unverified enterprise-prepared,R02-Q02|R02-Q03|R02-Q08,SYN-BRIDGE-009,Management group YTD net sales,Management group view,YTD to 2026-07-31,RMB million,Excluding VAT,Net sales,19.6,"19.6 - excluded SYN-OPS-01 2.0 = Standalone-derived 17.6",17.6,Group total not selected,"Related-entity support absent"
Synthetic,Management dashboard export,Management Statement—Unverified,R02-Q03|R02-Q05|R02-Q08,SYN-BRIDGE-010,R12M revenue,Management group view,2025-07-01 to 2026-06-30,RMB million,Tax basis not specified,Revenue,33.4,"No supported tax or monthly bridge",,Blocked,"Entity-level monthly R12M and VAT basis absent"
Synthetic,Enterprise-prepared cash bridge,Unverified enterprise-prepared,R02-Q06|R02-Q08,SYN-BRIDGE-011,Standalone cash at 2026-06-30,Standalone,2026-06-30,RMB million,Mixed restriction,Total bank balance,4.2,"2.5 unrestricted + 1.7 restricted",4.2,Historical comparison only,"Account-level bank proof absent"
Synthetic,Enterprise-prepared treasury snapshot,Unverified enterprise-prepared,R02-Q06|R02-Q08,SYN-BRIDGE-012,Standalone operating cash,Standalone,2026-07-31,RMB thousand,Unrestricted,Available cash,2100,"2100 / 1000",2.1,Selected cash-runway input,"Bank statement and confirmation absent"
Synthetic,Enterprise-prepared treasury snapshot,Unverified enterprise-prepared,R02-Q06|R02-Q08,SYN-BRIDGE-013,Standalone pledged deposit,Standalone,2026-07-31,RMB thousand,Restricted,Pledged cash,1700,"1700 / 1000",1.7,Excluded from available cash,"Pledge agreement and bank confirmation absent"
Synthetic,Enterprise-prepared treasury snapshot,Unverified enterprise-prepared,R02-Q02|R02-Q06|R02-Q08,SYN-BRIDGE-014,SYN-OPS-01 cash,Excluded related entity,2026-07-31,RMB thousand,Unrestricted,Cash,600,"600 / 1000",0.6,Excluded entity,"Bank and legal ownership evidence absent"
Synthetic,Enterprise-prepared reconciliation,Unverified enterprise-prepared,R02-Q06|R02-Q08,SYN-BRIDGE-015,Group cash totals,Management group view,2026-07-31,RMB million,Mixed restriction,Total and available cash,"4.4 total / 2.7 available","Standalone total 3.8 = 2.1 + 1.7; selected available = 2.1 after excluding restricted 1.7 and SYN-OPS-01 0.6",2.1,Only Standalone unrestricted selected,"Bank evidence and June-to-July transaction bridge absent"
Synthetic,Management forecast export,Management Statement—Unverified,R02-Q05|R02-Q07|R02-Q08,SYN-BRIDGE-016,V1 FY2026E,Management group view,As-of 2026-05-31,RMB million,Including 13% VAT,"Revenue / cost / gross profit","31.64 / 27.12 / 4.52","Divide each by 1.13",,"Draft context only: normalized 28.0 / 24.0 / 4.0","Not approved"
Synthetic,Management forecast export,Management Statement—Unverified,R02-Q05|R02-Q07|R02-Q08,SYN-BRIDGE-017,V1 FY2027E,Management group view,As-of 2026-05-31,RMB million,Including 13% VAT,"Revenue / cost / gross profit","81.36 / 59.44 / 21.92","Divide each by 1.13",,"Draft context only: normalized 72.0 / 52.6 / 19.4","Not approved"
Synthetic,Enterprise-prepared finance forecast,Unverified enterprise-prepared,R02-Q04|R02-Q05|R02-Q07|R02-Q08,SYN-BRIDGE-018,V2 FY2026E,Standalone,As-of 2026-07-15,RMB thousand,Excluding VAT,"Revenue / cost / gross profit","24800 / 21200 / 3600","Divide each by 1000",,"Draft context only: 24.8 / 21.2 / 3.6","Not approved"
Synthetic,Enterprise-prepared finance forecast,Unverified enterprise-prepared,R02-Q04|R02-Q05|R02-Q07|R02-Q08,SYN-BRIDGE-019,V2 FY2027E,Standalone,As-of 2026-07-15,RMB thousand,Excluding VAT,"Revenue / cost / gross profit","58000 / 44000 / 14000","Divide each by 1000",,"Draft context only: 58.0 / 44.0 / 14.0","Not approved"
Synthetic,Enterprise-prepared precedence policy,Unverified enterprise-prepared,R02-Q08,SYN-BRIDGE-020,Source precedence,All sources,2026-07-31,Not applicable,Not applicable,Priority,,"Executed legal/bank/audit evidence (absent) > Standalone finance export > matched sales rows > account-level treasury > forecast drafts > KPI dashboard",,Policy,"Highest-authority evidence absent"
